,cgp_empty_times in top 5%,cgp_empty_Mean Prob,go_empty_times in top 5%,go_empty_Mean Prob,cgp_empty_lin_times in top 5%,cgp_empty_lin_Mean Prob,go_empty_lin_times in top 5%,go_empty_lin_Mean Prob,Screended,Original Dependency,Original Dependency Score
ATR,36,0.8356875233628132,37,0.8963703944742142,37,0.8899488666573087,36,0.854296118158985,Yes,9,-1.2808694366383102
AURKA,34,0.794741400006209,33,0.8404987014152787,37,0.8334982565746786,36,0.8639346884080658,Yes,5,-1.1027263428351082
BCL2L1,35,0.82614313633669,37,0.9010043748327203,36,0.8424992740706162,37,0.8882507079087937,Yes,6,-1.1002686115802311
CLTC,35,0.8283261069229672,37,0.8716635607384347,37,0.8945872896426433,37,0.9255800231083019,Yes,9,-1.285502703790268
EIF5,37,0.9190811050367784,37,0.866610835264395,37,0.8417577362275338,37,0.926340678790668,Yes,9,-1.3073492388192727
PLK4,37,0.9425230128271085,37,0.8642557621807665,37,0.899593014437873,37,0.8410690876546209,Yes,9,-1.3314865673284195
RAD51,37,0.8178160063049814,25,0.7322504830360412,36,0.7766530584130023,37,0.8829347335540495,Yes,9,-1.3096843653420966
RAE1,31,0.7881054383131765,37,0.8994751752832452,37,0.9162948749086879,30,0.8767840475671823,Yes,4,-1.2382348629907016
RRS1,37,0.9168018572502308,37,0.8702057191917487,36,0.874818486471971,37,0.9410690987432323,Yes,8,-1.3522526154222598
SMC2,36,0.8297485267674483,35,0.8082066819781349,37,0.8430865981557346,35,0.8495081179198766,Yes,7,-1.3276725481412819
TOPBP1,37,0.894536863844674,37,0.9217691283236754,37,0.9693937017036989,36,0.8961478212365398,Yes,7,-1.2983579108308156
